Company,Route,Origin,Destination,Service Type
KMB,69,"元朗(德業街)","天水圍市中心",Regular
KMB,69C,"天恩邨","觀塘碼頭",Regular
KMB,69C,"天恩邨","觀塘碼頭",Special Service
KMB,69C,"觀塘碼頭","天恩邨",Regular
KMB,69M,"葵芳站","天水圍市中心",Regular
KMB,69M,"天水圍市中心","葵芳站",Regular
KMB,69P,"天水圍站","葵芳站",Regular
KMB,69X,"天瑞","佐敦(西九龍站)",Regular
KMB,69X,"天耀","佐敦(西九龍站)",Special Service
KMB,69X,"佐敦(西九龍站)","天瑞",Regular
Citybus,70,"華貴 (經:香港仔)","中環 (交易廣場)",Regular
KMB,70K,"粉嶺(華明)","清河(循環線)",Regular
KMB,70K,"上水(清河)","粉嶺(華明)",Special Service
Citybus,70P,"石排灣 (經:香港仔)","中環 (交易廣場)",Regular
KMB,70S,"紅磡站","和合石",Regular
KMB,70S,"和合石","紅磡站",Regular
Citybus,71,"黃竹坑","中環 (林士街)",Regular
KMB,71A,"大埔(富亨)","大埔墟站",Regular
KMB,71A,"大埔墟站","大埔(富亨)",Regular
KMB,71B,"大埔(富亨)","大埔中心(循環線)",Regular
KMB,71K,"大埔(太和)","大埔墟站",Regular
KMB,71K,"大埔墟站","大埔(太和)",Regular
Citybus,71P,"深灣","中環碼頭",Regular
KMB,71S,"大埔(富善)","廣福(循環線)",Regular
KMB,72,"大埔(太和)","長沙灣",Regular
KMB,72,"長沙灣","大埔(太和)",Regular
Citybus,72,"華貴邨","銅鑼灣 (摩頓台)",Regular
